"番号","名前","ボタン番号","ボタン記号","比較","日付","使用率"
"M001","XL2G_101_微細歩行前","B:513","↑+S1","=","2017/03/25 13:41:18","576 (28.1 %)","2944 (00B80)"
"M002","XL2G_102_微細歩行後","B:514","↓+S1","=","2017/03/25 13:41:34","592 (28.9 %)","4992 (01380)"
"M003","XL2G_103_微細歩行左","B:520","←+S1","=","2017/03/27 17:33:20","300 (14.6 %)","7040 (01B80)"
"M004","XL2G_104_微細歩行右","B:516","→+S1","=","2017/03/27 17:34:06","300 (14.6 %)","9088 (02380)"
"M005","XL2G_105_ゆっくり歩行前（5回）","B:0","","=","2017/04/08 15:22:52","556 (27.1 %)","11136 (02B80)"
"M006","XL2G_106_ゆっくり歩行後（5回）","B:0","","=","2017/04/08 15:22:02","576 (28.1 %)","13184 (03380)"
"M007","XL2G_107_ゆっくり歩行左（5回）","B:0","","=","2017/03/25 13:43:02","458 (22.4 %)","15232 (03B80)"
"M008","XL2G_108_ゆっくり歩行右（5回）","B:0","","=","2017/03/25 13:42:45","474 (23.1 %)","17280 (04380)"
"M009","XL2G_109_高速歩行前","B:1","↑","=","2017/03/25 13:44:49","602 (29.4 %)","19328 (04B80)"
"M010","XL2G_110_高速歩行後","B:2","↓","=","2017/03/25 13:44:56","592 (28.9 %)","21376 (05380)"
"M011","XL2G_111_高速歩行左","B:8","←","=","2017/03/25 13:45:03","292 (14.3 %)","23424 (05B80)"
"M012","XL2G_112_高速歩行右","B:4","→","=","2017/03/25 13:45:08","288 (14.1 %)","25472 (06380)"
"M013","XL2G_113_高速歩行左旋回","B:9","↑+←","=","2017/03/18 13:48:05","210 (10.3 %)","27520 (06B80)"
"M014","XL2G_114_高速歩行右旋回","B:5","↑+→","=","2017/03/18 13:47:32","210 (10.3 %)","29568 (07380)"
"M015","XL2G_115_起き上がり（仰向け）","B:2049","↑+S3","=","2017/03/25 13:45:30","366 (17.9 %)","31616 (07B80)"
"M016","XL2G_116_起き上がり（うつ伏せ）","B:2050","↓+S3","=","2017/03/27 14:31:46","587 (28.7 %)","33664 (08380)"
"M017","XL2G_117_起き上がり（方向判別）","B:0","","=","2017/03/27 17:40:29","330 (16.1 %)","35712 (08B80)"
"M018","名称未設定","B:0","","=","2017/01/14 21:04:00","0 (0.0 %)","37760 (09380)"
"M019","名称未設定","B:0","","=","2017/01/14 21:04:05","0 (0.0 %)","39808 (09B80)"
"M020","名称未設定","B:0","","=","2017/01/04 16:13:35","0 (0.0 %)","41856 (0A380)"
"M021","XL2G_201_挨拶","B:16","△","=","2017/07/07 11:33:06","322 (15.7 %)","43904 (0AB80)"
"M022","XL2G_202_手を振る","B:592","△+○+S1","=","2017/03/25 13:47:24","307 (15.0 %)","45952 (0B380)"
"M023","XL2G_203_腕立伏せ","B:32","×","=","2017/04/08 15:34:07","627 (30.6 %)","48000 (0BB80)"
"M024","XL2G_204_喜ぶ","B:96","×+○","=","2017/03/27 17:36:53","262 (12.8 %)","50048 (0C380)"
"M025","XL2G_205_がっかり","B:288","×+□","=","2017/03/27 17:37:52","622 (30.4 %)","52096 (0CB80)"
"M026","XL2G_206_シュート左","B:272","△+□","=","2017/03/25 13:48:33","430 (21.0 %)","54144 (0D380)"
"M027","XL2G_207_シュート右","B:80","△+○","=","2017/03/25 13:48:38","414 (20.2 %)","56192 (0DB80)"
"M028","XL2G_208_パス（左）","B:256","□","=","2017/03/25 13:48:45","231 (11.3 %)","58240 (0E380)"
"M029","XL2G_209_パス（右）","B:64","○","=","2017/03/25 13:48:50","223 (10.9 %)","60288 (0EB80)"
"M030","XL2G_210_ゴールキーパー","B:800","×+□+S1","=","2017/03/25 13:49:01","321 (15.7 %)","62336 (0F380)"
"M031","XL2G_211_パンチ前左","B:15","↑+↓+→+←","=","2017/03/27 17:38:46","165 (8.1 %)","64384 (0FB80)"
"M032","XL2G_212_パンチ前右","B:368","△+×+○+□","=","2017/03/27 17:39:38","161 (7.9 %)","66432 (10380)"
